U4E1F,丟,丢
U4E26,並,并
U4E7E,乾,干
U4E82,亂,乱
U4E99,亙,亘
U4E9E,亞,亚
U4F15,伕,夫
U4F47,佇,伫
U4F48,佈,布
U4F54,佔,占
U4F58,佘,畲
U4F75,併,并
U4F86,來,来
U4F96,侖,仑
U4FB6,侶,侣
U4FB7,侷,局
U4FC1,俁,俣
U4FC2,係,系
U4FE0,俠,侠
U5000,倀,伥
U5006,倆,俩
U5009,倉,仓
U500B,個,个
U5011,們,们
U5016,倖,幸
U5023,倣,仿
U502B,倫,伦
U5049,偉,伟
U5074,側,侧
U5075,偵,侦
U5078,偸,偷
U507A,偺,咱
U507D,偽,伪
U5091,傑,杰
U5096,傖,伧
U5098,傘,伞
U5099,備,备
U509A,傚,效
U50A2,傢,家
U50AD,傭,佣
U50AF,傯,偬
U50B3,傳,传
U50B4,傴,伛
U50B5,債,债
U50B7,傷,伤
U50BE,傾,倾
U50C2,僂,偻
U50C5,僅,仅
U50C9,僉,佥
U50D1,僑,侨
U50D5,僕,仆
U50DE,僞,伪
U50E5,僥,侥
U50E8,僨,偾
U50F1,僱,雇
U50F9,價,价
U5100,儀,仪
U5102,儂,侬
U5104,億,亿
U5105,儅,当
U5108,儈,侩
U5109,儉,俭
U5110,儐,傧
U5114,儔,俦
U5115,儕,侪
U5118,儘,尽
U511F,償,偿
U512A,優,优
U5132,儲,储
U5137,儷,俪
U5138,儸,罗
U5139,儹,攒
U513A,儺,傩
U513B,儻,傥
U513C,儼,俨
U5147,兇,凶
U514C,兌,兑
U5152,兒,儿
U5157,兗,兖
U5167,內,内
U5169,兩,两
U518A,冊,册
U51AA,冪,幂
U51C3,凃,涂
U51CD,凍,冻
U51DC,凜,凛
U51DF,凟,渎
U51E6,処,处
U51F1,凱,凯
U51F4,凴,凭
U5225,別,别
U522A,刪,删
U5244,剄,刭
U5247,則,则
U524B,剋,克
U5257,剗,刬
U525B,剛,刚
U525D,剝,剥
U526E,剮,剐
U5274,剴,剀
U5275,創,创
U5277,剷,铲
U5283,劃,划
U5284,劄,札
U5287,劇,剧
U5289,劉,刘
U528A,劊,刽
U528C,劌,刿
U528D,劍,剑
U5291,劑,剂
U5292,劒,剑
U52C1,勁,劲
U52D5,動,动
U52D7,勗,勖
U52D9,務,务
U52DB,勛,勋
U52DD,勝,胜
U52DE,勞,劳
U52E2,勢,势
U52E3,勣,绩
U52E6,勦,剿
U52E9,勩,勚
U52F1,勱,劢
U52F3,勳,勋
U52F5,勵,励
U52F8,勸,劝
U52FB,勻,匀
U532D,匭,匦
U532F,匯,汇
U5331,匱,匮
U5332,匲,奁
U5333,匳,奁
U5335,匵,椟
U5340,區,区
U5354,協,协
U5379,卹,恤
U537B,卻,却
U5399,厙,厍
U539B,厛,厅
U53A0,厠,厕
U53A4,厤,历
U53AD,厭,厌
U53B0,厰,厂
U53B2,厲,厉
U53B4,厴,厣
U53C3,參,参
U53E2,叢,丛
U5412,吒,咤
U5433,吳,吴
U5442,呂,吕
U54BC,咼,呙
U54E1,員,员
U54E2,哢,咔
U5504,唄,呗
U5515,唕,唣
U551A,唚,吣
U5538,唸,念
U554F,問,问
U5553,啓,启
U5557,啗,啖
U555E,啞,哑
U555F,啟,启
U5562,啢,唡
U5563,啣,衔
U5592,喒,咱
U559A,喚,唤
U55A6,喦,岩
U55AA,喪,丧
U55AB,喫,吃
U55AC,喬,乔
U55AE,單,单
U55B2,喲,哟
U55C6,嗆,呛
U55C7,嗇,啬
U55CA,嗊,唝
U55CE,嗎,吗
U55DA,嗚,呜
U55E9,嗩,唢
U55F6,嗶,哔
U5606,嘆,叹
U560D,嘍,喽
U5614,嘔,呕
U5616,嘖,啧
U5617,嘗,尝
U561C,嘜,唛
U5629,嘩,哗
U562E,嘮,唠
U562F,嘯,啸
U5630,嘰,叽
U5635,嘵,哓
