U0041,A,a
U0042,B,b
U0043,C,c
U0044,D,d
U0045,E,e
U0046,F,f
U0047,G,g
U0048,H,h
U0049,I,i
U004A,J,j
U004B,K,k
U004C,L,l
U004D,M,m
U004E,N,n
U004F,O,o
U0050,P,p
U0051,Q,q
U0052,R,r
U0053,S,s
U0054,T,t
U0055,U,u
U0056,V,v
U0057,W,w
U0058,X,x
U0059,Y,y
U005A,Z,z
U00C0,À,à
U00C1,Á,á
U00C2,Â,â
U00C3,Ã,ã
U00C4,Ä,ä
U00C5,Å,å
U00C6,Æ,æ
U00C7,Ç,ç
U00C8,È,è
U00C9,É,é
U00CA,Ê,ê
U00CB,Ë,ë
U00CC,Ì,ì
U00CD,Í,í
U00CE,Î,î
U00CF,Ï,ï
U00D0,Ð,ð
U00D1,Ñ,ñ
U00D2,Ò,ò
U00D3,Ó,ó
U00D4,Ô,ô
U00D5,Õ,õ
U00D6,Ö,ö
U00D8,Ø,ø
U00D9,Ù,ù
U00DA,Ú,ú
U00DB,Û,û
U00DC,Ü,ü
U00DD,Ý,ý
U00DE,Þ,þ
U0100,Ā,ā
U0102,Ă,ă
U0104,Ą,ą
U0106,Ć,ć
U0108,Ĉ,ĉ
U010A,Ċ,ċ
U010C,Č,č
U010E,Ď,ď
U0110,Đ,đ
U0112,Ē,ē
U0114,Ĕ,ĕ
U0116,Ė,ė
U0118,Ę,ę
U011A,Ě,ě
U011C,Ĝ,ĝ
U011E,Ğ,ğ
U0120,Ġ,ġ
U0122,Ģ,ģ
U0124,Ĥ,ĥ
U0126,Ħ,ħ
U0128,Ĩ,ĩ
U012A,Ī,ī
U012C,Ĭ,ĭ
U012E,Į,į
U0130,İ,i
U0132,Ĳ,ĳ
U0134,Ĵ,ĵ
U0136,Ķ,ķ
U0139,Ĺ,ĺ
U013B,Ļ,ļ
U013D,Ľ,ľ
U013F,Ŀ,ŀ
U0141,Ł,ł
U0143,Ń,ń
U0145,Ņ,ņ
U0147,Ň,ň
U014A,Ŋ,ŋ
U014C,Ō,ō
U014E,Ŏ,ŏ
U0150,Ő,ő
U0152,Œ,œ
U0154,Ŕ,ŕ
U0156,Ŗ,ŗ
U0158,Ř,ř
U015A,Ś,ś
U015C,Ŝ,ŝ
U015E,Ş,ş
U0160,Š,š
U0162,Ţ,ţ
U0164,Ť,ť
U0166,Ŧ,ŧ
U0168,Ũ,ũ
U016A,Ū,ū
U016C,Ŭ,ŭ
U016E,Ů,ů
U0170,Ű,ű
U0172,Ų,ų
U0174,Ŵ,ŵ
U0176,Ŷ,ŷ
U0178,Ÿ,ÿ
U0179,Ź,ź
U017B,Ż,ż
U017D,Ž,ž
U0181,Ɓ,ɓ
U0182,Ƃ,ƃ
U0184,Ƅ,ƅ
U0186,Ɔ,ɔ
U0187,Ƈ,ƈ
U0189,Ɖ,ɖ
U018A,Ɗ,ɗ
U018B,Ƌ,ƌ
U018E,Ǝ,ǝ
U018F,Ə,ə
